GEOID,tract,locality,race,group_total,group_total_moe,edu_level,estimate,percent,year,county,locality_num,tract_num,tractnames
51003010301,Census Tract 103.01,Albemarle County,Black,104,81,bachelors_up,84,80.77,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Amer_Indian,0,13,less_than_hs,0,NA,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Amer_Indian,0,13,hs_only,0,NA,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Amer_Indian,0,13,bachelors_up,0,NA,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Asian,178,99,less_than_hs,41,23.03,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Asian,178,99,hs_only,0,0,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Asian,178,99,bachelors_up,137,76.97,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,NHPI,0,13,less_than_hs,0,NA,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,NHPI,0,13,hs_only,0,NA,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,NHPI,0,13,bachelors_up,0,NA,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Other,0,13,less_than_hs,0,NA,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Other,0,13,hs_only,0,NA,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Other,0,13,bachelors_up,0,NA,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Multi,69,57,less_than_hs,0,0,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Multi,69,57,hs_only,26,37.68,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Multi,69,57,bachelors_up,43,62.32,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Hispanic,19,26,less_than_hs,0,0,2022,Albemarle,003,010301,Berkmar Drive
