state,puma12,puma22,stab,PUMA12name,PUMA22name,pop20,afact,AFACT2
State code,PUMA (2012),PUMA (2022),State abbr.,PUMA12 name,PUMA22 name,Total population (2020 Census),puma12-to-puma22 allocation factor,puma22-to-puma12 allocation factor
4,205,900,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,Cochise & Santa Cruz Counties--Sierra Vista City,65,0.0004,0.0004
4,205,1901,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,Pima County (West),69,0.0005,0.0006
4,205,1905,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,110968,0.7354,0.9995
4,205,1908,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,Tucson City (South),12044,0.0798,0.1047
4,205,1909,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,Tucson City (Southeast),27746,0.1839,0.2256
4,206,1904,AZ,Tucson City (Northeast),Pima County (Northeast),356,0.0034,0.0032
4,206,1906,AZ,Tucson City (Northeast),Tucson City (Northeast),89426,0.8622,0.7873
4,206,1907,AZ,Tucson City (Northeast),Tucson City (Northwest),13942,0.1344,0.1196
4,207,1904,AZ,Tucson City (Northwest),Pima County (Northeast),45,0.0004,0.0004
4,207,1907,AZ,Tucson City (Northwest),Tucson City (Northwest),102647,0.9996,0.8804
4,208,1908,AZ,Tucson City (South),Tucson City (South),102958,1,0.8952
4,209,1906,AZ,Tucson City (Southeast),Tucson City (Northeast),24165,0.2024,0.2127
4,209,1908,AZ,Tucson City (Southeast),Tucson City (South),13,0.0001,0.0001
4,209,1909,AZ,Tucson City (Southeast),Tucson City (Southeast),95243,0.7975,0.7744
4,300,1000,AZ,Navajo & Apache Counties,Navajo & Apache Counties,172738,1,1
4,400,500,AZ,Coconino County--Flagstaff City,Coconino County,144459,0.9995,0.9956
4,400,2503,AZ,Coconino County--Flagstaff City,Yavapai Rural,65,0.0004,0.0006
4,500,500,AZ,Yavapai County,Coconino County,642,0.0027,0.0044
4,500,2502,AZ,Yavapai County,Yavapai Urban,135495,0.5722,1
